"zone","state","lga","sector","ea","hhid","sa9b2q9a","sa9b2q9b","sa9b2q10a","sa9b2q10b","sa9b2q11a","sa9b2q11b","sa9b2q12","sa9b2q13a","sa9b2q13b","sa9b2q13c","sa9b2q14","sa9b2q15a1","sa9b2q15a2","sa9b2q15b1","sa9b2q15b2","sa9b2q15c1","sa9b2q15c2","sa9b2q16","sa9b2q17a","sa9b2q17b","sa9b2q17c","sa9b2q18a","sa9b2q18b","sa9b2q18c","sa9b2q19","sa9b2q20a","sa9b2q20b","sa9b2q20c","sa9b2q20d","sa9b2q21","sa9b2q22","sa9b2q23"
2,2,216,2,200,20031,3,24,0,0,0,0,2,,,,1,,,,,,,1,600,0,0,500,,,2,,,,,2,,
5,3,323,2,580,30080,2,14,,,,,1,800,,,1,5,2,,,,,2,,,,2,,,2,,,,,2,,
1,7,701,2,606,70109,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28,2806,1,802,280001,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29,2930,1,1418,290021,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2,,,,,2,,
6,29,2909,2,220,290046,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,2,,,,,2,,
6,29,2905,1,1096,290076,0,0,,0,0,0,,,0,,,,,,,,,,,,,,,,2,,,,,2,,
6,29,2923,2,1126,290118,0,0,,0,0,,,,,,,,,,,,,,,,,,,,2,,,,,2,,
6,29,2923,2,1126,290120,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2,,,,,2,,
6,29,2914,1,214,290170,6,0,6,0,0,0,,,,,,,,,,,,,,,,,,,2,,,,,2,,
